currency_code,display_name,distance,duration,estimate,high_estimate,localized_display_name,low_estimate,minimum,product_id,surge_multiplier,lat,lng,time
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.7495517143,-122.507491,2016-04-18 17:13:01.624591
USD,ASSIST,0.0,0,$7-8,8.0,ASSIST,7.0,8.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.2,37.7495517143,-122.507491,2016-04-18 17:13:01.624591
USD,uberWAV,0.0,0,$9-10,10.0,uberWAV,9.0,10.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.2,37.7495517143,-122.507491,2016-04-18 17:13:01.624591
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.7495517143,-122.507491,2016-04-18 17:13:01.624591
USD,uberX,0.0,0,$9-10,10.0,uberX,9.0,9.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.5,37.7544412857,-122.507491,2016-04-18 17:13:02.558509
USD,uberXL,0.0,0,$18-19,19.0,uberXL,18.0,18.0,821415d8-3bd5-4e27-9604-194e4359a449,2.4,37.7544412857,-122.507491,2016-04-18 17:13:02.558509
USD,uberSELECT,0.0,0,$18-19,19.0,uberSELECT,18.0,19.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.9,37.7544412857,-122.507491,2016-04-18 17:13:02.558509
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.7544412857,-122.507491,2016-04-18 17:13:02.558509
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.7544412857,-122.507491,2016-04-18 17:13:02.558509
USD,ASSIST,0.0,0,$9-10,10.0,ASSIST,9.0,9.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.5,37.7544412857,-122.507491,2016-04-18 17:13:02.558509
USD,uberWAV,0.0,0,$12-13,13.0,uberWAV,12.0,12.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.5,37.7544412857,-122.507491,2016-04-18 17:13:02.558509
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.7544412857,-122.507491,2016-04-18 17:13:02.558509
USD,uberX,0.0,0,$9-10,10.0,uberX,9.0,10.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.6,37.7593308571,-122.507491,2016-04-18 17:13:04.362288
USD,uberXL,0.0,0,$18-19,19.0,uberXL,18.0,18.0,821415d8-3bd5-4e27-9604-194e4359a449,2.4,37.7593308571,-122.507491,2016-04-18 17:13:04.362288
USD,uberSELECT,0.0,0,$18-19,19.0,uberSELECT,18.0,19.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.9,37.7593308571,-122.507491,2016-04-18 17:13:04.362288
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.7593308571,-122.507491,2016-04-18 17:13:04.362288
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.7593308571,-122.507491,2016-04-18 17:13:04.362288
USD,ASSIST,0.0,0,$9-10,10.0,ASSIST,9.0,10.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.6,37.7593308571,-122.507491,2016-04-18 17:13:04.362288
USD,uberWAV,0.0,0,$12-13,13.0,uberWAV,12.0,13.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.6,37.7593308571,-122.507491,2016-04-18 17:13:04.362288
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.7593308571,-122.507491,2016-04-18 17:13:04.362288
USD,uberX,0.0,0,$9-10,10.0,uberX,9.0,10.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.6,37.7642204286,-122.507491,2016-04-18 17:13:05.176735
USD,uberXL,0.0,0,$18-19,19.0,uberXL,18.0,18.0,821415d8-3bd5-4e27-9604-194e4359a449,2.4,37.7642204286,-122.507491,2016-04-18 17:13:05.176735
USD,uberSELECT,0.0,0,$18-19,19.0,uberSELECT,18.0,19.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.9,37.7642204286,-122.507491,2016-04-18 17:13:05.176735
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.7642204286,-122.507491,2016-04-18 17:13:05.176735
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.7642204286,-122.507491,2016-04-18 17:13:05.176735
USD,ASSIST,0.0,0,$9-10,10.0,ASSIST,9.0,10.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.6,37.7642204286,-122.507491,2016-04-18 17:13:05.176735
USD,uberWAV,0.0,0,$12-13,13.0,uberWAV,12.0,13.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.6,37.7642204286,-122.507491,2016-04-18 17:13:05.176735
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.7642204286,-122.507491,2016-04-18 17:13:05.176735
USD,uberX,0.0,0,$9-10,10.0,uberX,9.0,10.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.6,37.76911,-122.507491,2016-04-18 17:13:06.116078
USD,uberXL,0.0,0,$14-15,15.0,uberXL,14.0,15.0,821415d8-3bd5-4e27-9604-194e4359a449,1.9,37.76911,-122.507491,2016-04-18 17:13:06.116078
USD,uberSELECT,0.0,0,$13-14,14.0,uberSELECT,13.0,13.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.3,37.76911,-122.507491,2016-04-18 17:13:06.116078
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.76911,-122.507491,2016-04-18 17:13:06.116078
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.76911,-122.507491,2016-04-18 17:13:06.116078
USD,ASSIST,0.0,0,$9-10,10.0,ASSIST,9.0,10.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.6,37.76911,-122.507491,2016-04-18 17:13:06.116078
USD,uberWAV,0.0,0,$12-13,13.0,uberWAV,12.0,13.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.6,37.76911,-122.507491,2016-04-18 17:13:06.116078
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.76911,-122.507491,2016-04-18 17:13:06.116078
USD,uberX,0.0,0,$10-11,11.0,uberX,10.0,10.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.7,37.7739995714,-122.507491,2016-04-18 17:13:07.056038
USD,uberXL,0.0,0,$14-15,15.0,uberXL,14.0,15.0,821415d8-3bd5-4e27-9604-194e4359a449,1.9,37.7739995714,-122.507491,2016-04-18 17:13:07.056038
USD,uberSELECT,0.0,0,$13-14,14.0,uberSELECT,13.0,13.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.3,37.7739995714,-122.507491,2016-04-18 17:13:07.056038
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.7739995714,-122.507491,2016-04-18 17:13:07.056038
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.7739995714,-122.507491,2016-04-18 17:13:07.056038
USD,ASSIST,0.0,0,$10-11,11.0,ASSIST,10.0,10.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.7,37.7739995714,-122.507491,2016-04-18 17:13:07.056038
USD,uberWAV,0.0,0,$13-14,14.0,uberWAV,13.0,13.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.7,37.7739995714,-122.507491,2016-04-18 17:13:07.056038
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.7739995714,-122.507491,2016-04-18 17:13:07.056038
USD,uberX,0.0,0,$8-9,9.0,uberX,8.0,9.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.4,37.7788891429,-122.507491,2016-04-18 17:13:08.309516
USD,uberXL,0.0,0,$14-15,15.0,uberXL,14.0,15.0,821415d8-3bd5-4e27-9604-194e4359a449,1.9,37.7788891429,-122.507491,2016-04-18 17:13:08.309516
USD,uberSELECT,0.0,0,$13-14,14.0,uberSELECT,13.0,13.0,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.3,37.7788891429,-122.507491,2016-04-18 17:13:08.309516
USD,UberBLACK,0.0,0,$15,15.0,UberBLACK,15.0,15.0,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,37.7788891429,-122.507491,2016-04-18 17:13:08.309516
USD,UberSUV,0.0,0,$25,25.0,UberSUV,25.0,25.0,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,37.7788891429,-122.507491,2016-04-18 17:13:08.309516
USD,ASSIST,0.0,0,$8-9,9.0,ASSIST,8.0,9.0,ff5ed8fe-6585-4803-be13-3ca541235de3,1.4,37.7788891429,-122.507491,2016-04-18 17:13:08.309516
USD,uberWAV,0.0,0,$11-12,12.0,uberWAV,11.0,11.0,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.4,37.7788891429,-122.507491,2016-04-18 17:13:08.309516
,uberTAXI,0.0,0,Metered,,uberTAXI,,,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,37.7788891429,-122.507491,2016-04-18 17:13:08.309516
USD,uberX,0.0,0,$8-9,9.0,uberX,8.0,9.0,a1111c8c-c720-46c3-8534-2fcdd730040d,1.4,37.7837787143,-122.507491,2016-04-18 17:13:09.039771
USD,uberXL,0.0,0,$14-15,15.0,uberXL,14.0,15.0,821415d8-3bd5-4e27-9604-194e4359a449,1.9,37.7837787143,-122.507491,2016-04-18 17:13:09.039771
